x,y
872,-483
-379,723
-441,-155
-40,189
4,461
30,-570
343,-73
-132,600
-184,410
207,66
-723,132
-687,-211
-911,81
985,333
-39,10
735,-596
893,744
-167,764
-630,-458
-943,-955
356,539
-768,-392
-295,-734
-199,-272
140,-806
-860,19
74,826
413,292
160,600
-900,620
509,754
-28,549
-142,-519
-543,-863
407,477
-715,-381
-731,-914
217,353
243,-678
253,10
592,-524
-434,-920
63,-114
510,575
971,-528
346,-580
-165,436
442,-118
-69,898
-470,554
-944,-83
-12,651
14,-380
24,308
172,960
860,580
-641,857
-946,975
-170,442
-699,852
-761,-26
414,-288
-897,113
-949,-77
907,776
855,586
691,-569
138,945
-461,-138
-122,-672
26,-20
-365,324
908,597
-938,462
-990,272
-651,-262
-250,82
-154,544
-555,200
70,252
770,663
30,853
317,129
255,-749
119,-610
67,-800
129,78
179,195
955,-338
939,-871
965,350
488,950
87,606
863,73
923,878
959,535
-502,211
761,-204
272,-395
360,-548
370,140
-542,812
84,-446
-107,740
-169,-138
617,17
-295,689
-357,-189
-261,273
515,-260
-834,411
-485,565
-451,149
-639,98
-212,-589
-142,904
-214,-662
223,-661
-731,509
-208,284
191,555
227,212
967,22
977,710
438,432
135,623
971,895
-526,914
-500,-117
-901,-461
-99,227
274,-723
659,-912
-191,638
593,720
90,99
429,-435
926,371
-597,-831
327,-712
772,-96
-976,304
-689,-420
-637,-230
870,439
-192,386
-166,-645
295,504
-633,643
-356,-769
143,110
203,915
-482,58
-893,-974
865,-686
326,-964
-175,740
-478,931
286,-363
-231,808
-303,-758
-734,187
-493,-882
40,-419
938,731
974,388
475,-491
-934,-625
-148,-470
-687,-748
-190,58
195,-131
-430,-183
-532,-460
-660,294
-564,756
-137,69
-41,531
683,-192
-778,-516
84,977
110,-54
-281,290
795,803
-906,238
980,-198
-830,-676
-882,-866
-810,700
-445,-865
-44,-521
391,-593
114,819
615,-885
-912,423
-974,-455
-86,7
333,-598
-230,228
197,-459
-366,367
981,-377
69,295
-332,-49
392,-772
514,911
-460,705
-674,-567
-624,-450
-676,-640
248,-521
-305,993
-706,649
-341,-916
-842,788
-565,-624
-966,-968
-271,577
-870,-506
-433,-505
802,38
900,573
-900,783
213,-357
710,449
-262,316
-376,-752
173,244
-791,726
-354,727
654,517
29,465
358,-757
368,-69
855,49
552,240
763,460
300,-762
-550,788
-602,598
-664,-280
-201,942
707,528
-800,-141
-756,131
507,-284
-553,-264
856,-130
942,-356
-118,-336
14,-217
790,-750
511,589
-150,880
-114,537
287,881
722,809
-739,485
-268,70
620,532
558,-346
568,342
-903,-670
-466,-669
380,291
318,-587
406,-740
903,66
-995,-259
911,681
937,-350
-748,-382
-652,80
-902,-849
858,-458
-978,95
-880,630
467,-114
-445,558
-507,-320
-559,-510
-70,-319
-72,-392
-793,-906
267,-926
365,-391
-537,969
764,-120
-661,-787
-885,-495
333,825
422,-638
458,-981
-829,568
392,651
320,-915
853,-452
-486,907
-173,-848
-674,856
-798,-900
-187,974
821,764
-640,440
38,-628
74,-971
-864,732
134,-166
-64,-905
42,245
417,-632
930,707
-870,917
680,-222
778,313
-972,640
-649,-427
-340,328
59,599
434,-278
33,-622
470,-621
582,374
869,-350
-530,204
-442,51
905,-693
-434,666
-257,-950
112,610
50,-268
948,882
485,-340
-539,-663
982,466
-104,-735
481,-82
978,724
353,672
-769,-186
-110,-550
636,206
508,960
-963,-52
384,-796
-903,753
-528,-124
819,-868
-432,338
-57,-539
440,267
779,-267
-682,-591
789,421
-810,163
-774,-180
625,-734
98,-251
-866,231
-40,-185
-92,-375
247,-909
431,-600
774,-261
951,375
-885,928
560,719
-13,857
646,493
422,785
797,-92
57,98
396,-436
735,-970
554,904
-167,390
-568,46
853,971
-644,990
-680,-919
228,919
104,-837
-956,-817
-798,523
-860,-355
-371,-164
637,-374
-389,-770
160,226
-551,400
108,36
170,914
607,915
980,-35
-429,-169
-830,-513
-992,657
-280,-827
-86,170
-372,-416
125,390
552,-297
598,48
-402,873
-464,-5
861,458
33,801
470,802
-103,940
494,-302
-967,-626
-618,-472
613,329
399,-943
521,740
120,396
-950,-272
886,-825
-78,-343
820,807
696,-949
508,-1000
604,-538
640,-881
77,-55
574,751
502,-815
-889,354
-853,11
-462,-333
410,-404
749,-938
759,-250
907,402
845,-476
-652,-457
-215,-456
220,-528
657,-527
815,813
691,-943
-359,-235
-247,760
-846,-323
-349,483
-740,827
-375,-738
0,637
26,-394
-589,242
-990,-102
-651,-636
-441,894
-493,704
-250,-292
221,-707
-629,843
30,479
379,633
656,-779
181,-106
119,-984
241,699
518,-713
-783,376
965,-24
-687,838
-749,-40
27,-573
-973,252
123,-111
620,695
959,161
-851,-317
761,-578
-67,-235
-700,-902
272,-769
370,-234
-640,-97
-630,591
-542,438
294,710
-446,900
232,-168
643,864
805,-306
-393,-220
-357,-563
-261,-101
114,-978
515,-634
976,515
-896,-841
-547,-687
-337,843
-50,119
822,48
-988,-430
-639,-276
918,510
285,-157
-204,-348
345,648
319,-573
-793,-743
-244,253
-208,-90
-270,-968
915,-542
-773,663
39,-213
875,59
813,-819
873,-14
-500,-491
284,-409
-628,263
-690,-615
-654,-958
254,880
-868,22
-782,-204
-345,-203
501,757
90,-275
-196,-861
824,-280
772,-470
-976,-70
-192,12
-328,151
-827,-728
-781,-383
680,-59
117,767
578,-336
-821,218
674,126
-484,-389
-448,-732
851,762
-290,608
486,75
-478,557
-201,-855
-642,-598
-780,-532
-237,619
451,239
475,-865
-98,-727
461,957
748,233
-563,634
-964,290
-276,-90
722,-988
-529,218
307,490
255,300
-717,167
-779,-711
646,-44
-380,-440
877,-700
-969,-835
-71,315
686,486
1,-371
-598,798
212,-151
-626,-496
709,655
-317,259
268,912
493,-690
-758,516
-982,808
950,717
888,-161
-521,-295
487,-505
664,131
-415,855
299,-556
690,-900
-727,-952
223,388
171,198
-240,-834
658,316
79,609
-671,111
566,727
-895,403
-520,-474
-522,-547
899,378
-115,743
659,137
-750,3
182,737
218,394
844,-864
-844,341
465,271
802,-336
-998,-126
-74,-7
650,-730
-166,404
522,24
-817,-869
-382,-941
55,-940
953,210
961,825
-849,347
-474,-530
-672,983
-636,640
661,-191
893,-609
-790,173
208,-725
70,-659
942,-730
-555,-711
-858,-520
-447,512
890,-920
814,24
-585,578
-220,-987
511,215
662,-370
-216,-114
123,-648
133,40
508,-837
969,312
-404,-165
-5,106
-406,-238
41,451
370,-771
380,-83
-837,707
-61,174
278,-360
617,-894
529,390
868,-144
-784,718
52,990
-922,784
800,-837
-260,-817
201,332
227,-699
-885,-869
-737,-217
-300,-216
39,-750
197,590
-292,399
-925,-268
971,-16
-428,538
-819,882
570,-360
919,-206
955,-549
-993,-961
689,271
725,-72
821,390
100,-124
-776,205
-890,-863
-591,-796
-156,-868
341,-62
-719,-42
812,-477
51,-390
548,416
-853,897
931,154
490,411
-570,431
839,565
-99,16
-760,307
-385,-570
-612,959
451,-298
260,888
198,10
-487,-847
-730,149
-391,-385
-42,-231
-553,785
455,575
820,-990
890,503
978,350
790,299
-110,-924
327,-923
449,760
-809,41
-312,847
472,929
107,242
-370,842
-620,-87
815,-984
-560,718
589,-765
-373,-210
687,-230
210,370
934,-353
-475,-487
-527,-677
533,-697
-30,129
118,781
-603,267
780,-820
902,863
-168,195
-70,730
840,-15
79,72
113,-344
-859,-477
149,-687
610,462
985,-415
-424,-549
-75,-395
-266,791
422,411
797,-466
945,186
-891,739
-19,668
330,822
853,597
390,-625
-209,544
166,-333
567,11
136,956
222,730
571,884
910,350
-465,-200
-992,283
-797,-30
-346,431
624,895
63,-862
-849,-190
-402,499
869,699
468,355
957,546
-790,-364
-121,-40
376,766
803,79
-319,-779
978,-107
675,833
-447,-25
-812,-712
50,781
485,709
182,900
-888,232
-950,-646
-539,386
922,710
-78,-717
419,89
-703,-769
864,705
-946,227
-268,-841
-110,499
229,-35
-985,-482
911,-230
-837,170
-801,-173
-390,859
811,-434
420,-90
819,181
-590,47
-580,735
-93,853
631,130
220,-902
230,-214
815,439
-405,-954
-586,920
-247,386
-211,43
-846,-697
0,263
-401,-81
970,727
-441,520
-493,330
273,-891
283,-203
-352,-943
241,325
215,-896
139,48
-252,392
586,737
923,130
-851,-691
-502,-537
-67,-609
-141,408
-969,751
430,197
695,680
643,490
-732,-60
-357,-937
-297,-132
539,140
413,967
351,89
-50,-255
-451,-599
726,-788
-46,618
-340,-583
-741,-927
730,85
690,686
342,-778
37,-660
-125,510
-536,-522
909,-731
971,147
398,285
-592,-454
655,850
-756,643
-684,-43
-421,367
-910,176
-535,-701
-134,-357
14,295
-377,639
-439,-239
-1,-238
248,691
577,-531
423,-998
-976,-444
742,445
-571,773
143,-638
640,168
-482,-690
-21,459
5,-572
512,922
460,732
851,388
887,45
-27,644
749,111
-431,-752
405,-480
451,-135
375,809
70,927
-651,413
273,532
-190,-690
-743,824
682,-761
-318,64
-380,-814
-759,321
-133,-937
123,938
400,-474
-321,-988
801,-130
-564,8
-41,-217
246,-941
743,-135
-666,-269
-656,419
-317,-115
180,691
-854,-320
667,809
364,1000
-794,485
-80,-926
-820,-736
-383,-735
-323,70
914,686
950,343
-425,-207
-264,-104
720,820
-793,306
293,-745
540,-868
-520,-848
37,763
376,229
-987,440
-648,-94
-115,369
-614,-510
214,-853
284,640
-688,507
310,-391
659,-237
-993,625
-878,383
130,173
627,979
-407,-32
-311,430
38,584
577,892
752,-827
-884,568
-597,-156
-100,650
327,-37
824,769
808,236
183,184
680,990
-354,-21
19,-971
961,451
-11,318
727,55
-698,-612
859,174
138,-340
-602,-150
671,123
-399,-545
609,-755
-740,-84
471,-689
168,-498
856,-878
-457,-550
718,-812
816,-277
876,528
814,-350
688,477
277,-555
287,133
774,251
712,-627
-338,81
-190,733
534,10
-779,338
568,-406
-683,800
-308,-77
93,267
771,-801
877,349
466,-683
-61,-200
436,606
-696,-940
-199,-134
683,483
-814,502
-840,-719
48,-257
894,703
-978,-653
-880,-118
-481,153
-445,-190
-96,-36
-44,154
453,960
-10,-262
-521,754
-974,220
-138,492
-112,-539
576,-919
786,611
395,955
734,421
-352,-780
580,-46
-332,626
17,780
478,-323
-582,-303
290,-374
751,775
448,966
-684,-580
-249,-652
100,-498
196,-36
-437,-703
535,-570
623,-723
-377,102
-680,293
8,-87
120,908
347,-621
94,-313
495,31
-130,-21
-996,996
828,-318
-998,923
776,-508
874,27
187,-903
-873,-883
-340,-420
173,919
147,-302
608,847
-77,-10
243,160
420,796
-721,642
55,109
793,-154
-171,328
-536,-359
300,-87
-263,739
599,-20
547,-210
-852,344
609,668
-329,119
-730,-225
70,390
44,-831
-894,872
-509,683
-180,-539
692,-610
-647,749
-950,940
-621,-282
-611,406
-312,473
-713,129
-268,745
-330,-133
-370,468
-93,-944
5,-409
404,-138
-560,344
-600,945
-313,221
960,494
559,150
-501,170
-780,-743
-605,-180
-168,-179
-296,575
-250,920
-164,694
610,88
-763,-389
21,-307
-490,709
-552,-169
-953,-513
-358,828
-19,294
330,448
356,-583
452,-121
-111,705
-173,-173
130,-364
228,171
-772,996
567,-363
-798,-225
725,977
761,634
946,-367
-900,-502
-952,-692
245,525
778,988
-745,-214
812,572
-659,-440
-649,248
-873,540
-935,-338
-847,-491
-534,6
-37,812
276,-943
464,-892
622,448
-342,930
33,53
95,931
648,-583
733,464
332,120
280,-70
-470,-568
-632,602
-259,-348
-108,-933
912,-352
172,-162
-52,130
-16,-213
271,-937
820,59
830,747
-980,269
18,-629
-581,540
-607,-681
327,126
-733,146
824,932
-699,-270
-360,-804
913,-531
-488,-50
-61,-737
97,603
-304,259
45,413
809,-881
-153,-326
-744,-794
-586,546
-247,12
-149,547
250,818
-810,838
-774,495
-349,-265
-475,562
533,352
-938,-660
-990,-850
-665,438
4,762
369,-803
181,-854
740,830
179,-927
-444,-906
277,-392
712,-464
925,-171
-937,-839
584,290
-486,-378
-877,-34
386,-449
-726,-619
-193,-156
-331,-90
-271,715
-956,-142
539,-234
-423,321
-834,-711
-449,-900
-84,-213
12,249
311,316
-142,-218
345,-100
730,-289
-777,-958
977,970
167,537
-583,39
690,312
-869,-547
490,-500
-899,742
-622,-670
438,-690
500,188
510,876
873,-762
895,717
-165,737
-967,49
-618,203
340,-94
-720,-74
679,-628
501,9
952,470
978,-561
577,-905
587,-217
926,-751
-377,265
-48,-957
301,-803
896,538
271,486
758,604
18,794
305,70
-765,-598
169,209
-330,-670
-232,-135
614,825
502,-140
101,-484
-462,342
226,-38
-139,-725
-53,-951
-267,29
220,147
657,148
996,-386
-359,440
-932,578
902,-48
36,969
411,92
349,-786
810,363
159,-910
369,620
646,-792
656,-104
744,-257
893,-915
-358,291
989,-453
-472,-777
-598,50
959,836
-173,-710
264,-709
-15,630
370,441
699,-781
769,712
-640,578
743,-509
581,661
180,317
669,508
946,-904
-732,989
-347,800
114,-303
-834,712
852,-566
-511,-355
888,-909
-451,450
-14,451
750,-843
-978,933
-613,-632
796,-498
858,380
223,-360
572,-206
-731,810
915,133
-931,-1
-434,804
342,271
-925,944
899,-370
-117,-78
659,-611
192,677
521,-545
-782,471
90,400
-874,882
-437,883
-2,811
-699,-807
-689,-119
-262,-806
-567,-688
618,-262
-452,-930
-320,-811
953,-538
-544,-519
-47,287
825,216
-139,698
200,164
-303,-457
-293,231
36,-991
-207,5
569,-528
-892,-852
-523,708
-934,-324
-924,364
313,980
-677,241
-216,-862
255,975
682,288
-404,-913
-532,-159
-472,646
-35,647
242,-765
304,113
-660,595
871,160
809,-718
986,-82
-824,-560
-880,-492
167,0
-912,724
-76,996
361,997
-771,-549
-200,-760
796,925
-613,791
-336,-621
13,-467
724,-641
161,185
207,530
536,-692
293,304
-89,-744
632,-230
470,940
-95,-559
-496,-903
-588,-492
659,812
-750,678
-91,314
535,-944
60,-271
-742,-959
992,463
-808,673
-32,140
499,530
-222,16
-623,-328
-186,-327
-262,617
746,407
-376,-451
-567,735
983,-404
-853,149
-530,-918
420,422
29,766
368,232
-893,750
-909,217
266,-45
276,643
885,-571
352,-271
300,-461
174,366
112,-512
547,-584
982,-656
-427,-790
-928,914
517,705
794,-707
882,-860
-894,498
415,428
14,84
-611,32
662,305
-440,853
-564,-903
-867,-712
-308,972
-370,94
-83,-630
318,-286
406,-439
-933,920
440,-855
-620,-835
466,366
745,-973
-560,-30
374,777
-686,797
-347,263
-373,-958
-251,725
898,-758
964,993
-445,859
892,-573
730,597
-20,99
-731,273
-705,-758
740,-967
766,254
-609,-296
-270,-830
-260,-142
-200,663
-164,320
165,-902
576,130
-763,-763
536,731
422,-337
-829,869
-490,335
893,-752
-55,263
43,798
-420,-424
755,-686
-147,674
-209,-204
-173,-547
130,-738
288,602
-736,279
126,-480
74,-670
136,208
-2,274
-742,464
-465,-948
-64,-604
-1,274
245,151
680,79
91,-316
-162,-8
624,147
51,285
-777,628
-438,94
-402,-249
496,901
582,675
520,-203
-540,-183
921,141
-69,-598
767,-326
-293,-306
-536,690
-99,691
240,157
300,962
-237,757
389,-501
-862,705
922,-38
982,767
-818,977
-381,978
-104,-434
445,562
820,-315
-677,-296
854,-731
-196,-23
790,974
291,95
-769,115
301,783
538,-28
-861,526
636,507
-436,-234
-488,-424
-390,111
785,-151
384,-495
-17,-839
-989,-972
354,794
230,-962
-656,931
-718,53
-620,588
815,-309
190,-361
651,788
-810,464
-714,926
-349,-639
-92,-74
335,-761
-727,-814
-194,-351
205,-80
241,-423
580,-957
740,456
-286,60
113,331
149,-12
-414,814
-815,470
-486,-752
-75,280
945,861
-516,537
-141,-340
258,-69
791,394
-670,70
601,270
-762,481
-824,-397
-900,547
-525,-330
884,-196
782,-473
-679,-797
-218,352
-745,835
-771,-386
750,743
55,-802
-773,-459
562,692
151,-340
490,-874
901,158
-63,640
-967,-325
-319,-104
-818,-983
-944,-156
-285,-520
952,96
890,-782
-858,-382
76,425
-413,234
-377,-109
-888,907
956,969
261,-576
-140,-920
-130,-232
271,112
696,-648
854,692
-669,-510
-232,-509
117,-355
41,589
-262,780
476,517
75,173
111,-170
-610,-684
947,102
420,585
358,-293
759,51
-267,-345
-155,650
256,-570
-646,790
-806,-623
164,-159
-908,-900
-559,-746
-537,733
-1000,-489
-555,127
770,590
30,780
181,195
955,-411
554,-755
989,-827
-937,210
735,754
-5,944
272,-468
334,410
-979,738
-630,892
633,477
677,749
479,10
575,472
950,-405
-50,420
-451,76
812,-339
359,-873
918,811
572,-580
-605,-391
782,950
-392,-98
-645,210
628,483
566,-395
-23,-790
37,15
971,822
-500,-190
-901,-534
398,960
-117,-452
781,698
-157,149
956,-991
-792,-591
-407,-780
653,-800
830,-164
926,298
-910,851
-545,-714
-733,-765
636,-30
574,-908
183,-564
-765,451
-330,379
482,-497
640,843
239,499
-580,-550
-492,-703
917,-569
15,791
-386,447
674,427
502,909
887,720
-959,585
-610,739
783,370
757,-851
-303,-831
158,318
-806,800
-30,267
503,730
441,-148
840,123
-122,678
-986,-888
-98,-426
-88,262
435,37
-276,211
-190,-15
281,-430
-440,-944
620,-964
93,-481
-97,-605
360,802
637,-610
673,-953
-814,-246
-317,560
-692,-815
108,-200
206,335
-880,-866
641,263
-80,-251
-383,-60
980,-271
-896,883
-172,160
-234,-718
487,-204
878,-548
-86,-66
359,550
-264,571
734,-327
-178,345
-240,-533
658,617
981,-450
-767,-50
-270,756
941,151
-59,976
-95,-933
254,-779
813,905
-997,427
-283,-984
350,-317
320,972
-91,-60
-463,-420
248,-594
597,-440
-305,920
649,-250
659,438
130,848
-565,-697
992,89
940,-101
80,761
18,-117
28,571
64,228
367,37
-196,863
-170,-168
-160,520
900,500
-64,982
614,-86
249,-773
-262,243
-324,-635
-887,191
460,-553
983,-778
-755,310
45,925
-320,238
516,510
-981,529
-570,-691
605,-953
424,921
362,43
861,922
-263,-9
224,109
-399,130
908,-13
-928,540
70,-358
40,931
754,-480
353,-824
912,860
-647,1
626,274
225,-70
722,736
-278,-691
558,-419
-831,823
-502,-399
943,-608
-344,941
430,335
-532,890
-943,-142
-255,-522
-634,613
-686,423
-748,-455
364,-285
585,623
950,-942
-788,146
-778,834
-14,-460
-603,-855
-830,674
-70,-392
-349,947
-984,207
-635,361
-661,-860
638,634
800,-536
-300,85
39,-449
971,285
570,-59
518,-249
-55,-111
-19,-454
-921,906
-582,372
-243,-162
-111,-43
377,-104
828,357
-623,721
-258,-844
-324,788
434,-351
-975,-485
-77,665
-129,475
957,-576
733,-284
793,521
731,-357
-570,732
-145,-28
-207,-906
-724,265
-786,-613
-395,-957
948,809
922,-412
-730,450
-52,-618
768,-879
890,804
728,-278
-110,-623
-733,-602
-621,393
636,133
-374,270
-364,958
-867,337
-492,-540
344,-268
-57,-612
-219,558
-959,748
-281,-320
154,-392
-586,-202
-810,90
463,363
-850,691
497,-53
-876,-530
-40,-258
734,-864
-132,153
-72,958
303,81
-671,-125
612,836
540,-730
-572,-900
646,420
-424,-248
-825,-592
-552,506
-614,-372
-177,-371
-71,779
755,363
976,-981
-824,-771
-327,35
170,841
321,256
-90,-776
371,373
-591,928
-653,50
345,-848
-156,856
121,-556
-280,-900
654,-93
-258,579
750,369
177,507
-214,851
-412,112
935,-632
23,40
362,-494
843,-221
280,605
609,-617
-596,934
579,672
-259,327
168,-360
-285,-894
-734,1000
711,791
24,-139
573,857
850,-555
18,46
-607,-6
-232,-883
169,-539
-110,800
-761,-473
476,143
913,144
-452,282
226,-786
785,898
35,400
811,-133
-79,-668
-153,349
-991,4
-215,-529
-57,811
292,965
529,154
615,-72
-784,482
-497,-242
-70,-929
427,-123
714,-847
-938,15
-250,-365
409,-729
-66,-56
-467,-400
273,-590
431,750
-691,-108
-194,698
-220,-523
-410,-647
524,160
462,-718
-877,641
396,914
-15,-118
-736,-632
360,-995
857,-189
581,-87
-634,776
880,-20
-84,462
387,47
447,852
421,-369
-988,-503
782,576
628,109
-336,591
490,175
438,-15
-971,-149
-474,657
-901,-908
398,586
346,396
244,119
-816,139
182,-759
20,411
-792,-965
429,-882
-509,821
-910,477
-884,-554
864,-954
-377,940
-38,406
886,525
-236,-333
-976,-143
-627,11
-140,129
670,-820
828,520
-456,832
-518,-46
578,-409
640,469
-761,950
388,-533
-87,140
-139,-50
793,684
-616,550
-181,478
543,-245
595,-55
-30,-107
164,890
102,12
40,-866
-559,303
-960,-41
-872,-194
714,576
-150,-990
-224,27
774,-871
-128,489
255,227
-39,-974
682,-460
-344,-856
215,828
-855,160
991,295
-871,-373
-410,776
-35,-101
390,-861
-127,310
-41,84
986,-830
-18,253
16,-163
513,643
-948,319
-86,-440
700,-285
812,710
760,520
-649,386
-326,-681
-605,658
-579,-373
171,125
-366,-80
-418,-270
470,192
941,-223
-895,330
-556,-204
-520,-547
376,530
350,-691
-213,135
-65,787
310,-90
-802,-260
-253,736
86,202
-716,-486
521,130
130,474
906,-59
653,249
465,198
-884,869
-946,-9
-222,-732
265,-614
772,880
947,-809
-791,279
-452,-255
420,-326
917,480
865,290
-981,155
230,-450
727,356
815,203
-586,684
70,-732
-990,-712
-493,94
-894,-250
603,-269
415,-320
912,486
626,-100
620,85
-380,910
57,911
-193,-18
-933,172
-446,290
180,-968
278,-433
739,716
-538,701
-600,-177
683,784
621,-94
-778,460
-692,234
-405,-490
-343,388
858,-905
615,91
-204,-958
800,-910
-260,-890
786,912
-737,-290
-352,-479
-300,-289
135,-361
83,-551
-977,-531
145,327
-332,927
254,270
228,-951
787,733
-710,752
-674,409
100,-197
998,953
719,40
-768,747
-439,-475
-870,470
904,-961
828,-17
588,-258
-386,-464
-915,-54
-530,-243
-33,563
55,410
-570,358
302,287
543,-782
-359,578
639,-320
50,-715
260,815
948,435
-766,419
-329,420
-52,-992
297,-838
455,502
-581,-582
291,-653
449,687
-272,173
564,445
-871,-910
686,-124
-456,995
-965,-572
-492,-914
308,-299
344,-642
406,236
-620,-160
180,455
-758,-94
114,-165
-277,179
-449,661
-527,-750
-754,779
-477,-633
-40,-632
457,174
-603,194
902,790
740,-292
-757,-273
-260,533
-362,256
412,-350
-552,132
330,749
-243,887
416,523
130,-63
-58,-114
-423,-801
-301,882
946,-66
-890,487
-54,759
-465,-273
407,-344
-896,672
-619,-740
-781,430
315,67
-807,-791
-248,893
91,359
750,-5
865,-247
-899,-380
-931,836
-504,149
270,-457
609,-991
428,883
-704,-663
517,-580
603,-806
988,-995
-411,-441
76,-323
-325,-667
-950,-719
-515,-791
80,550
291,770
380,-693
-360,-503
538,647
913,-230
-827,785
-462,-780
97,904
35,26
480,642
